"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"
"1"	"b"	0.376540602802841	0	"u"	"g"	"w"	"v"	0.043859649122807	"t"	"t"	0.0149253731343284	"f"	"g"	0.101	0	"+"
"2"	"a"	0.727756904259112	0.159285714285714	"u"	"g"	"q"	"h"	0.106666666666667	"t"	"t"	0.0895522388059701	"f"	"g"	0.0215	0.0056	"+"
"3"	"a"	0.29668431012259	0.0178571428571429	"u"	"g"	"q"	"h"	0.0526315789473684	"t"	"f"	0	"f"	"g"	0.14	0.00824	"+"
"4"	"b"	0.338694018594191	0.055	"u"	"g"	"w"	"v"	0.131578947368421	"t"	"t"	0.0746268656716418	"t"	"g"	0.05	3e-05	"+"
"5"	"b"	0.242059073581439	0.200892857142857	"u"	"g"	"w"	"v"	0.06	"t"	"f"	0	"f"	"s"	0.06	0	"+"
"6"	"b"	0.392310012889779	0.142857142857143	"u"	"g"	"m"	"v"	0.087719298245614	"t"	"f"	0	"t"	"g"	0.18	0	"+"
"7"	"b"	0.406060938485588	0.0371428571428571	"u"	"g"	"r"	"h"	0.228070175438596	"t"	"f"	0	"t"	"g"	0.082	0.31285	"+"
"8"	"a"	0.276751775772701	0.41375	"u"	"g"	"cc"	"v"	0.00140350877192982	"t"	"f"	0	"f"	"g"	0.04	0.01349	"+"
"9"	"b"	0.674140909963525	0.0178571428571429	"y"	"p"	"k"	"h"	0.138947368421053	"t"	"f"	0	"f"	"g"	0.09	0.00314	"+"
"10"	"b"	0.523763815374489	0.175535714285714	"y"	"p"	"w"	"v"	0.111052631578947	"t"	"f"	0	"t"	"g"	0.026	0.01442	"+"
"11"	"b"	0.266154732194279	0.0296428571428571	"u"	"g"	"c"	"h"	0.0759649122807017	"f"	"f"	0	"t"	"g"	0.064	0	"+"
"12"	"b"	0.365060472259551	0.0655357142857143	"u"	"g"	"c"	"h"	0.152105263157895	"t"	"f"	0	"f"	"g"	0.13	0.002	"+"
"13"	"a"	0.470147821078902	0.214285714285714	"u"	"g"	"k"	"v"	0.0350877192982456	"t"	"f"	0	"t"	"g"	0	0	"+"
"14"	"b"	0.594158462002578	0.215714285714286	"u"	"g"	"k"	"v"	0.00140350877192982	"f"	"f"	0	"f"	"g"	0	0.0269	"+"
"15"	"a"	0.56577352384609	0.375	"u"	"g"	"q"	"v"	0.175438596491228	"t"	"t"	0.104477611940299	"t"	"g"	0	0	"+"
"16"	"b"	0.450215286729013	0.157678571428571	"y"	"p"	"k"	"v"	0.0087719298245614	"t"	"t"	0.149253731343284	"t"	"g"	0.16	0	"+"
"17"	"b"	0.343992540383402	0.03125	"u"	"g"	"m"	"v"	0.0336842105263158	"t"	"t"	0.0447761194029851	"t"	"g"	0.198	0	"+"
"18"	"a"	0.280914900035653	0.209821428571429	"u"	"g"	"q"	"v"	0.111228070175439	"t"	"t"	0.149253731343284	"f"	"g"	0.06	0.00245	"+"
"19"	"b"	0.263000850176892	0.00892857142857143	"u"	"g"	"d"	"h"	0.0233333333333333	"t"	"f"	0	"t"	"g"	0	0	"+"
"20"	"a"	0.229443545511889	0.306607142857143	"u"	"g"	"cc"	"h"	0.0263157894736842	"t"	"t"	0.104477611940299	"f"	"g"	0.048	0	"+"
"21"	"b"	0.302992074157365	0.401785714285714	"u"	"g"	"c"	"v"	0.087719298245614	"t"	"t"	0.253731343283582	"f"	"g"	0.1	0.01208	"+"
"22"	"b"	0.280914900035653	0.0357142857142857	"u"	"g"	"c"	"v"	0.0292982456140351	"t"	"f"	0	"f"	"s"	0.15	0	"+"
"23"	"a"	0.589995337739626	0.285714285714286	"u"	"g"	"c"	"v"	0.276315789473684	"t"	"t"	0.0895522388059701	"t"	"g"	0	0.0126	"+"
"24"	"a"	0.333521652085676	0.517857142857143	"u"	"g"	"x"	"h"	0.108245614035088	"t"	"t"	0.0149253731343284	"f"	"g"	0.06	0.00011	"+"
"25"	"a"	0.506985163041988	0.232142857142857	"u"	"g"	"q"	"v"	0.0175438596491228	"t"	"t"	0.0447761194029851	"t"	"g"	0.0725	0	"+"
"26"	"a"	0.187307681759592	0.0208928571428571	"u"	"g"	"c"	"h"	0.0526315789473684	"t"	"t"	0.0298507462686567	"f"	"g"	0.05	0	"+"
"27"	"a"	0.580533691687464	0.464285714285714	"u"	"g"	"i"	"bb"	0.181228070175439	"t"	"t"	0.134328358208955	"t"	"g"	0	0	"+"
"28"	"b"	0.701390450593753	0.660714285714286	"u"	"g"	"d"	"bb"	0.526315789473684	"t"	"t"	0.253731343283582	"t"	"g"	0	0	"+"
"29"	"b"	0.711987494172175	0.303571428571429	"u"	"g"	"e"	"h"	0.245614035087719	"t"	"t"	0.0447761194029851	"f"	"g"	0	0	"+"
"30"	"b"	0.518465293585278	0.0371428571428571	"u"	"g"	"w"	"v"	0.175438596491228	"t"	"t"	0.0895522388059701	"t"	"g"	0.25	0.1	"+"
"31"	"b"	0.356608068452952	0.528214285714286	"u"	"g"	"aa"	"v"	0.176842105263158	"t"	"t"	0.0746268656716418	"t"	"g"	0.084	0	"+"
"32"	"b"	0.517456051339714	0.349642857142857	"u"	"g"	"x"	"h"	0.279298245614035	"t"	"t"	0.119402985074627	"f"	"g"	0	0	"+"
"33"	"b"	0.612072511861339	0.270892857142857	"u"	"g"	"i"	"bb"	0.266140350877193	"t"	"t"	0.223880597014925	"t"	"g"	0	0.05	"+"
"34"	"a"	0.451224528974577	0.183035714285714	"u"	"g"	"e"	"v"	0.175438596491228	"t"	"f"	0	"t"	"g"	0	0.04	"+"
"35"	"a"	0.272462496229054	0.383928571428571	"u"	"g"	"q"	"v"	0.0145614035087719	"t"	"t"	0.0746268656716418	"t"	"g"	0	0.0056	"+"
"36"	"b"	0.338694018594191	0.0535714285714286	"u"	"g"	"w"	"v"	0.0701754385964912	"t"	"t"	0.164179104477612	"t"	"g"	0.217	0.00035	"+"
"37"	"b"	0.331377012313852	0.0566071428571429	"u"	"g"	"cc"	"h"	0.0643859649122807	"t"	"t"	0.17910447761194	"t"	"g"	0.2915	0.00713	"+"
"38"	"a"	0.277761018018265	0.419642857142857	"u"	"g"	"x"	"h"	0.0175438596491228	"t"	"t"	0.0298507462686567	"t"	"g"	0.15	0.00551	"+"
"39"	"b"	0.337684776348627	0.0208928571428571	"y"	"p"	"cc"	"v"	0.0087719298245614	"t"	"t"	0.0298507462686567	"f"	"g"	0.13	0.005	"+"
"40"	"b"	0.676159394454653	0.33625	"u"	"g"	"ff"	"ff"	0.50578947368421	"t"	"t"	0.164179104477612	"t"	"g"	0.015	0.003	"+"
